particle_size_nm,shape,coating,bacteria,gram_type,MIC_ug_ml,zone_inhibition_mm,zone_concentration_ug_ml,paper_source,notes
18.08,spherical,Nothapodytes nimmoniana leaf extract,Escherichia coli,Negative,,,,,
18.08,spherical,Nothapodytes nimmoniana leaf extract,Bacillus subtilis,Positive,,,,,
18.08,spherical,Nothapodytes nimmoniana leaf extract,Staphylococcus aureus,Positive,,,,,
18.08,spherical,Nothapodytes nimmoniana leaf extract,Pseudomonas fluorescens,Negative,,,,,
15.96,spherical,Solanum khasianum leaf extract,Bacillus sphaericus,Positive,,,,,
15.96,spherical,Solanum khasianum leaf extract,Escherichia coli,Negative,,,,,
15.96,spherical,Solanum khasianum leaf extract,Staphylococcus aureus,Positive,,,,,
15.96,spherical,Solanum khasianum leaf extract,Pseudomonas fluorescens,Negative,,,,,
15.96,spherical,Solanum khasianum leaf extract,Pseudomonas fluorescens,Negative,,22.0,,,
4.06,spherical,Camellia sinensis (pu-erh tea) leaf extract,Escherichia coli,Negative,7.8,15.0,,,
4.06,spherical,Camellia sinensis (pu-erh tea) leaf extract,Klebsiella pneumoniae,Negative,3.9,10.0,,,
4.06,spherical,Camellia sinensis (pu-erh tea) leaf extract,Salmonella Typhimurium,Negative,3.9,20.0,,,
4.06,spherical,Camellia sinensis (pu-erh tea) leaf extract,Salmonella Enteritidis,Negative,3.9,20.0,,,
42.57,rod-like,Verbena officinalis leaf extract,Yersinia ruckeri,Negative,320.0,16.0,10000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Vibrio cholerae,Negative,2500.0,13.16,10000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Listeria monocytogenes,Positive,1250.0,15.16,10000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Yersinia ruckeri,Negative,320.0,15.16,5000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Vibrio cholerae,Negative,2500.0,12.83,5000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Listeria monocytogenes,Positive,1250.0,14.66,5000.0,,
42.57,rod-like,Verbena officinalis leaf extract,Yersinia ruckeri,Negative,320.0,14.5,2500.0,,
42.57,rod-like,Verbena officinalis leaf extract,Vibrio cholerae,Negative,2500.0,12.16,2500.0,,
42.57,rod-like,Verbena officinalis leaf extract,Listeria monocytogenes,Positive,1250.0,13.33,2500.0,,
42.57,rod-like,Verbena officinalis leaf extract,Yersinia ruckeri,Negative,320.0,11.66,1250.0,,
42.57,rod-like,Verbena officinalis leaf extract,Vibrio cholerae,Negative,2500.0,10.0,1250.0,,
42.57,rod-like,Verbena officinalis leaf extract,Listeria monocytogenes,Positive,1250.0,10.83,1250.0,,
42.57,rod-like,Verbena officinalis leaf extract,Yersinia ruckeri,Negative,320.0,10.66,620.0,,
42.57,rod-like,Verbena officinalis leaf extract,Vibrio cholerae,Negative,2500.0,9.66,620.0,,
42.57,rod-like,Verbena officinalis leaf extract,Listeria monocytogenes,Positive,1250.0,9.16,620.0,,
21.65,spherical,Discopodium penninervium leaf extract,Bacillus cereus,Positive,780.0,14.0,50000.0,,
21.65,spherical,Discopodium penninervium leaf extract,Staphylococcus aureus,Positive,400.0,21.0,50000.0,,
21.65,spherical,Discopodium penninervium leaf extract,Escherichia coli,Negative,70.0,25.0,50000.0,,
21.65,spherical,Discopodium penninervium leaf extract,Salmonella typhi,Negative,1560.0,13.0,50000.0,,
,,"Chestnut honey (Castanea sativa) (CH-AgNPs, 30C)",Bacillus cereus ATCC 14579,Positive,150.0,11.0,300.0,,
